country,total_por_pais
United States,3663
Germany,152
Canada,131
United Kingdom,125
Belgium,123
Australia,21
Norway,19
Netherlands,17
Ireland,15
Austria,14
India,14
Japan,13
Mexico,13
Switzerland,12
Czech Republic,9
New Zealand,7
Poland,6
Russia,6
Denmark,5
El Salvador,5
Spain,5
Argentina,4
Brazil,4
England,4
Hungary,4
Italy,4
France,3
Jamaica,3
"Korea, Republic of",3
Panama,3
Sweden,3
China,2
Lithuania,2
Aruba,1
Belize,1
Cuba,1
Estonia,1
Finland,1
French Polynesia,1
Guatemala,1
Honduras,1
Kenya,1
Latvia,1
Macao,1
"Macedonia, the Former Yugoslav Republic of",1
Myanmar,1
Namibia,1
Philippines,1
Portugal,1
Sri Lanka,1
"Taiwan, Province of China",1
Thailand,1
